kpc_r,sigma_tot,sigma_HI_claude,sigma_H2,q,\Omega,sigma_sfr,T
6.25,0.05389086519136661,0.0005619034346440072,0.0003081620456629172,1.1303791827443055,1.2270790425880353e-15,2.649087626124453e-21,6062.5
6.75,0.050263317144167895,0.0005854081638130978,0.0001747958356670102,1.025099936525719,1.132116186439088e-15,2.8477691980837868e-21,6147.5
7.25,0.04581804182562607,0.000597515312552371,0.00011850075507263801,1.014803614690681,1.0550307717103778e-15,3.4438139139617886e-21,6232.5
7.75,0.0411729661286268,0.0006321638901186091,0.00015218071189895848,1.1023244277213882,9.844084655914733e-16,2.715314816777564e-21,6317.5
8.25,0.03768164180876234,0.0006926456910040285,0.0001373798277384935,1.1797122993816125,9.152746832236354e-16,2.8477691980837868e-21,6402.5
8.75,0.035833938761183515,0.0007629496577428893,0.00017690711958191088,1.1444944691876802,8.536807525426889e-16,3.708722676574234e-21,6487.5
9.25,0.03418617834042604,0.0008412434640568345,0.00021952083748360415,1.0875658497029965,8.032124308460656e-16,4.50344896441157e-21,6572.5
9.75,0.03318691147569628,0.000902917473582953,0.00030153939251766066,0.9902386485249282,7.591971556680816e-16,4.9670392989833486e-21,6657.5
10.25,0.032581817616583415,0.0009456625212135461,0.0003121303939557058,0.81323881124594,7.258317796048223e-16,5.6955383961675736e-21,6742.5
10.75,0.030985838389477872,0.0009740144052210998,0.000326806672269178,0.7165712804806175,7.011395482790599e-16,6.622719065311132e-21,6827.5
11.25,0.0288819069899015,0.0009903295115917684,0.0002978316210028362,0.7367931910566137,6.789374666486622e-16,5.231948061595794e-21,6912.5
11.75,0.026525108204573246,0.001004147991824555,0.0002809216978479813,0.8114505491105534,6.566647765608928e-16,3.576268295268011e-21,6997.5
12.25,0.02437395034817412,0.0010167041991244509,0.00024520465232121316,0.8852202548337049,6.336430772261831e-16,2.1854972915526734e-21,7082.5
12.75,0.02255855720349128,0.0010265826785949047,0.00016653121476746646,0.9191747988496161,6.109361934607713e-16,1.456998194368449e-21,7167.5
13.25,0.021016455241517837,0.0010343618790240373,0.00010631147924922045,0.9236141795385379,5.89578985856822e-16,1.258316622409115e-21,7252.5
13.75,0.019687519704761833,0.0009945127291645754,8.107494369493489e-05,0.914447707535833,5.69781958740372e-16,1.0596350504497811e-21,7337.5
14.25,0.018594065177747518,0.0009315501447041581,5.77704480512951e-05,0.8729205893586719,5.516235206366108e-16,7.947262878373358e-22,7422.5
14.75,0.017606422235697226,0.0008330583537374696,3.704044970303243e-05,0.8098370677195895,5.359203093192549e-16,4.635903345717793e-22,7507.5
15.25,0.016348880037121212,0.0007173292407325076,3.155017842865321e-05,0.7941598052557961,5.220852897975125e-16,5.2981752522489055e-22,7592.5
15.75,0.014758125508747092,0.0006101423093321963,2.46408882314465e-05,0.8596466054659875,5.086355732701933e-16,6.622719065311132e-22,7677.5
16.25,0.01316277022201429,0.000509935700392486,1.7844710904433662e-05,0.9795786516568766,4.942706405875921e-16,5.960447158780018e-22,7762.5
16.75,0.01176808358659558,0.00043371735349186357,1.0123548534182431e-05,1.0818755392969812,4.788450456647716e-16,5.960447158780018e-22,7847.5
